Data_extracted,pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score,Notes
Y,20590676,Comparative cardiac gene delivery of adeno-associated virus serotypes 1-9 reveals that AAV6 mediates the most efficient transduction in mouse heart.,Clinical and translational science,2010,"Cardiac gene transfer is an attractive tool for developing novel heart disease treatments. Adeno-associated viral (AAV) vectors are widely used to mediate transgene expression in animal models and are being evaluated for human gene therapy. However, it is not clear which serotype displays the best cardiac tropism. Therefore, we curried out this study to directly compare AAV serotypes 1-9 heart transduction efficiency after indirect intracoronary injection. AAV-cytomegalovirus immediate early enhancer promoter (CMV)-luciferase serotypes 1-9 were injected in the left ventricular cavity of adult mice, after cross-clamping the ascending aorta and pulmonary artery. An imaging system was used to visualize luciferase expression at 3, 7, 21, 70, and 140 days postinjection. Echocardiography was performed to evaluate cardiac function on day 140. At the end of the study, luciferase enzyme activity and genome copies of the different AAV serotypes were assessed in several tissues and potential AAV immunogenicity was evaluated on heart sections by staining for macrophage and lymphocyte antigens. Among AAV serotypes 1-9, AAV6 showed the best capability of achieving high transduction levels in the myocardium in a tissue-specific manner, whereas the other serotypes had less cardiac transduction and more extracardiac expression, especially in the liver. Importantly, none of the serotypes tested with this marker gene affected cardiac function nor was associated with inflammation.","['Zincarelli', 'Soltys', 'Rengo']",1,31,"tropism, serotypes 1-9, gene delivery of adeno-associated virus serotypes, transduction efficiency, transduction, gene expression, transgene expression","liver, heart, cardiac, myocardium",66,
,25938190,Gene delivery to rat and human Schwann cells and nerve segments: a comparison of AAV 1-9 and lentiviral vectors.,Gene therapy,2015,"Schwann cells (SCs) in an injured peripheral nerve form pathways for regenerating axons. Although these cells initially support regeneration, SCs lose their pro-regenerative properties following a prolonged period of denervation. Gene transfer to SC can enhance their therapeutic potential. In this article, we compared adeno-associated viral (AAV) vectors based on serotypes 1-9 for their capability to transduce cultured primary rat and human SCs and nerve segments. AAV1 is the best serotype to transduce rat SCs, whereas AAV2 and AAV6 performed equally well in human SCs. Transduction of monolayers of cultured rat and human SCs did not accurately predict the transduction efficiency in nerve segments. Rat nerve segments could be genetically modified equally well by a set of four AAV vectors (AAV1, AAV5, AAV7, AAV9), whereas AAV2 was superior in human nerve segments. The current experiments were undertaken as a first step towards future clinical implementation of ex vivo AAV-based gene therapy in surgical nerve repair. The transduction of rat and human SCs and nerve segments by entirely different AAV serotypes, as documented here, highlights one of the challenges of translating gene therapy from experimental animals to human patients.","['Hoyng', 'De Winter', 'Gnavi']",1,13,"serotypes 1-9, transduction efficiency, transduction",liver,59,
,18414476,Analysis of AAV serotypes 1-9 mediated gene expression and tropism in mice after systemic injection.,Molecular therapy : the journal of the American Society of Gene Therapy,2008,"This study examines transgene expression and biodistribution of adeno-associated virus (AAV) pseudotyped 1-9 after tail vein (TV) injection in male mice. Using a cytomegalovirus (CMV)-luciferase transgene, the time-course of expression in each animal was tracked throughout the experiment. The animals were imaged at 7, 14, 29, 56, and 100 days after the TV injection. The total number of photons emitted from each animal was recorded, allowing examination of expression level and kinetics for each pseudotyped virus. The bioluminescence imaging revealed three expression levels (i) low-expression group, AAV2, 3, 4, and 5; (ii) moderate-expression group, AAV1, 6, and 8; and (iii) high-expression group, AAV7 and 9. In addition, imaging revealed two classes of kinetics (i) rapid-onset, for AAV1, 6, 7, 8, and 9; and (ii) slow-onset, for AAV2, 3, 4, and 5. We next evaluated protein expression and viral genome copy numbers in dissected tissues. AAV9 had the best viral genome distribution and highest protein levels. The AAV7 protein and genome copy numbers were comparable to those of AAV9 in the liver. Most surprisingly, AAV4 showed the greatest number of genome copies in lung and kidney, and a high copy number in the heart. AAV6 expression was observed in the heart, liver, and skeletal muscle, and the genome distribution corroborated these observations.","['Zincarelli', 'Soltys', 'Rengo']",1,24,"tropism, biodistribution, serotypes 1-9, gene expression, transgene expression, systemic injection","liver, muscle, heart, lung, kidney",57,
,40225019,"AAV capsids target muscle-resident cells with different efficiencies-A comparative study between AAV8, AAVMYO, and AAVMYO2.",Molecular therapy. Methods & clinical development,2025,"Adeno-associated viruses (AAVs) of different serotypes are commonly used in gene therapies and gene interrogation studies to deliver transgenes to skeletal muscle in humans and mice. While efficient muscle fiber transduction is possible, little is known of their capacity to transduce muscle-residing mononuclear cells. Here, we addressed this question for AAV8 and the two myotropic AAVs, AAVMYO and AAVMYO2, by engineering them to express the tdTomato gene. AAVs were then injected intramuscularly or intravenously at two different doses into adult mice followed by flow-cytometry-based isolation of endothelial cells, immune cells, muscle stem cells, and fibro-adipogenic progenitor cells from the <i>tibialis anterior</i> muscle. Overall, we noted varying rates of tdTomato expression across all cell types. Transduction efficiency fluctuated in AAV serotype-dependent, titer-dependent, administration-dependent, and cell-dependent manners. By visualizing AAV DNA <i>in vivo</i>, we confirmed that AAV8, AAVMYO, and AAVMYO2 deliver transgenes to muscle-residing mononuclear cells. We show that mononuclear cells are also successfully transduced in the <i>dy</i> <sup><i>W</i></sup> /<i>dy</i> <sup><i>W</i></sup> mouse model of LAMA2-related muscular dystrophy. Altogether, we demonstrate that muscle-residing mononuclear cells are transduced by AAVs and provide an insightful guidance for researchers aiming to target muscle-resident mononuclear cells in their studies.","['McGowan', 'Lewerenz', 'Maino']",1,10,"transduction efficiency, transduction","liver, muscle, skeletal muscle",50,
,36097758,Identification of Broadly Applicable Adeno-Associated Virus Vectors by Systematic Comparison of Commonly Used Capsid Variants <i>In Vitro</i>.,Human gene therapy,2022,"Adeno-associated viruses (AAVs) represent highly attractive gene therapy vectors and potent research tools for the modulation of gene expression in animal models or difficult-to-transfect cell cultures. Engineered variants, comprising chimeric, mutated, or peptide-inserted capsids, have strongly broadened the utility of AAVs by altering cellular tropism, enabling immune evasion, or increasing transduction efficiency. In this work, the performance of 50 of the most used, predominantly published, AAVs was compared on several primary cells, cell lines, and induced pluripotent stem cell-derived models from different organs, including the adipose tissue, liver, lung, brain, and eyes. To identify the most efficient capsids for each cell type, self-complementary AAVs were standardized by digital polymerase chain reaction, arrayed on 96-well plates, and screened using high-content imaging. To enable best use of the data, all results are also provided in a web app. The utility of one selected AAV variant is further exemplified in a liver fibrosis assay based on primary hepatic stellate cells, where it successfully reversed a small interfering RNA (siRNA)-induced phenotype. Most importantly, our comparative analysis revealed that a subselection of only five AAV variants (AAV2.NN, AAV9-SLRSPPS, AAV6.2, AAV6TM, and AAV1P5) enabled efficient transduction of all tested cell types and markedly outperformed other well-established capsids, such as AAV2-7m8. These findings suggest that a core panel comprising these five capsid variants is a universally applicable and sufficient tool to identify potent AAVs for gene expression modulation in cellular systems.","['Weinmann', 'Söllner', 'Abele']",1,17,"tropism, transduction efficiency, transduction, gene expression","liver, brain, lung, hepatic",50,All in vitro studies
,38702726,Comparative in vivo characterization of newly discovered myotropic adeno-associated vectors.,Skeletal muscle,2024,"Adeno-associated virus (AAV)-based gene therapy is a promising strategy to treat muscle diseases. However, this strategy is currently confronted with challenges, including a lack of transduction efficiency across the entire muscular system and toxicity resulting from off-target tissue effects. Recently, novel myotropic AAVs named MyoAAVs and AAVMYOs have been discovered using a directed evolution approach, all separately demonstrating enhanced muscle transduction efficiency and liver de-targeting effects. However, these newly discovered AAV variants have not yet been compared. In this study, we performed a comparative analysis of these various AAV9-derived vectors under the same experimental conditions following different injection time points in two distinct mouse strains. We highlight differences in transduction efficiency between AAV9, AAVMYO, MyoAAV2A and MyoAAV4A that depend on age at injection, doses and mouse genetic background. In addition, specific AAV serotypes appeared more potent to transduce skeletal muscles including diaphragm and/or to de-target heart or liver. Our study provides guidance for researchers aiming to establish proof-of-concept approaches for preventive or curative perspectives in mouse models, to ultimately lead to future clinical trials for muscle disorders.","['Ji', 'Lefebvre', 'Laporte']",1,10,"transduction efficiency, transduction","liver, muscle, heart, skeletal muscle",48,
,40847002,Identification of AAV variants with improved transduction of human vascular endothelial cells by screening AAV capsid libraries in non-human primates.,Gene therapy,2025,"The development of targeted vector systems for gene therapy has made impressive progress during the last decade. Promising vector candidates were identified by screening large pools of adeno-associated virus (AAV) mutants in small animal models. However, it became apparent that targeted AAV mutants isolated from rodents may not function in humans as the tropism of individual AAV mutants can differ between species. To identify novel vascular-targeted AAV capsid mutants suitable for treating human patients, we generated a set of AAV2 display peptide libraries and screened them in the common marmoset, a non-human primate. To evaluate the impact of different AAV library production methods, progress of the screening process was monitored by next generation sequencing. Particle distribution and enrichment was compared between different AAV libraries and selection rounds. We observed enrichment of AAV variants in the brain and other well-perfused organs (lung, heart, kidney) potentially mediated by high capsid affinity for the vascular endothelium in general. In vitro experiments on primary human microvascular endothelial cells isolated from a set of different organs (brain, heart, lung, liver, kidney and spleen) confirmed superior transduction of a selected AAV variant displaying the ""DWP"" amino acid sequence motif compared to natural AAV serotypes 1-9.","['Stamataki', 'Lüschow', 'Schlumbohm']",1,15,"tropism, serotypes 1-9, transduction","liver, brain, heart, lung, kidney",45,
,38097651,Distributional comparison of different AAV vectors after unilateral cochlear administration.,Gene therapy,2024,"The adeno-associated virus (AAV) gene therapy has been widely applied to mouse models for deafness. But, AAVs could transduce non-targeted organs after inner ear delivery due to their low cell-type specificity. This study compares transgene expression and biodistribution of AAV1, AAV2, Anc80L65, AAV9, AAV-PHP.B, and AAV-PHP.eB after round window membrane (RWM) injection in neonatal mice. The highest virus concentration was detected in the injected cochlea. AAV2, Anc80L65, AAV9, AAV-PHP.B, and AAV-PHP.eB transduced both inner hair cells (IHCs) and outer hair cells (OHCs) with high efficiency, while AAV1 transduced IHCs with high efficiency but OHCs with low efficiency. All AAV subtypes finitely transduced contralateral inner ear, brain, heart, and liver compared with the injected cochlea. In most brain regions, the enhanced green fluorescent protein (eGFP) expression of AAV1 and AAV2 was lower than that of other four subtypes. We suggested the cochlear aqueduct might be one of routes for vectors instantaneously infiltrating into the brain from the cochlea through a dye tracking test. In summary, our results provide available data for further investigating the biodistribution of vectors through local inner ear injection and afford a reference for selecting AAV serotypes for gene therapy toward deafness.","['Han', 'Xu', 'Wang']",1,12,"biodistribution, gene expression, transgene expression","liver, brain, heart",45,No access to article
,25592336,Targeted gene delivery to the enteric nervous system using AAV: a comparison across serotypes and capsid mutants.,Molecular therapy : the journal of the American Society of Gene Therapy,2015,"Recombinant adeno-associated virus (AAV) vectors are one of the most widely used gene transfer systems in research and clinical trials. AAV can transduce a wide range of biological tissues, however to date, there has been no investigation on targeted AAV transduction of the enteric nervous system (ENS). Here, we examined the efficiency, tropism, spread, and immunogenicity of AAV transduction in the ENS. Rats received direct injections of various AAV serotypes expressing green fluorescent protein (GFP) into the descending colon. AAV serotypes tested included; AAV 1, 2, 5, 6, 8, or 9 and the AAV2 and AAV8 capsid mutants, AAV2-Y444F, AAV2-tripleY-F, AAV2-tripleY-F+T-V, AAV8-Y733F, and AAV8-doubeY-F+T-V. Transduction, as determined by GFP-positive cells, occurred in neurons and enteric glia within the myenteric and submucosal plexuses of the ENS. AAV6 and AAV9 showed the highest levels of transduction within the ENS. Transduction efficiency scaled with titer and time, was translated to the murine ENS, and produced no vector-related immune response. A single injection of AAV into the colon covered an area of ~47 mm(2). AAV9 primarily transduced neurons, while AAV6 transduced enteric glia and neurons. This is the first report on targeted AAV transduction of neurons and glia in the ENS.","['Benskey', 'Kuhn', 'Galligan']",1,13,"tropism, transduction efficiency, transduction",liver,44,
,40927766,A myotropic AAV vector combined with skeletal muscle <i>cis</i>-regulatory elements improve glycogen clearance in mouse models of Pompe disease.,Molecular therapy. Methods & clinical development,2025,"Pompe disease is a glycogen storage disorder caused by mutations in the acid α-glucosidase (GAA) gene, leading to reduced GAA activity and glycogen accumulation in heart and skeletal muscles. Enzyme replacement therapy with recombinant GAA, the standard of care for Pompe disease, is limited by poor skeletal muscle distribution and immune responses after repeated administrations. The expression of GAA in muscle with adeno-associated virus (AAV) vectors has shown limitations, mainly the low targeting efficiency and immune responses to the transgene. To address these issues, we developed AAV capsids with improved skeletal muscle targeting and reduced off-targeting. These capsids combined with codon optimization, muscle-specific <i>cis</i>-regulatory elements, and a synthetic promoter demonstrated a strong skeletal muscle tropism, reduced liver targeting, and enhanced GAA transgene expression and reduced glycogen accumulation in a <i>Gaa</i> <sup>-/-</sup> mouse model. However, increased muscle-specific expression led to a robust anti-hGAA immune response. To circumvent this, the AAVMYO2 capsid was tested in immunodeficient <i>Gaa</i> <sup>-/-</sup> <i>Cd4</i> <sup>-/-</sup> mice and compared to AAV9 at different doses. The combination of AAVMYO2 with an optimized transgene expression cassette provided a dose-dependent advantage for glycogen reduction in skeletal muscles of <i>Gaa</i> <sup>-/-</sup> <i>Cd4</i> <sup>-/-</sup> mice. These findings support the potential of muscle-specific AAV gene therapy for Pompe disease at lower doses with greater specificity.","['Sellier', 'Collaud', 'Benchekroun']",1,12,"tropism, gene expression, transgene expression","liver, muscle, heart, skeletal muscle",42,
