pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score
18941444,Recombinant AAV serotype and capsid mutant comparison for pulmonary gene transfer of alpha-1-antitrypsin using invasive and noninvasive delivery.,Molecular therapy : the journal of the American Society of Gene Therapy,2009,"Recombinant adeno-associated viral (rAAV) vectors have been widely used in pulmonary gene therapy research. In this study, we evaluated the transduction and expression efficiencies of several AAV serotypes and AAV2 capsid mutants with specific pulmonary targeting ligands in the mouse lung. The noninvasive intranasal delivery was compared with the traditional intratracheal lung delivery. The rAAV8 was the most efficient serotype at expressing alpha-1-antitrypsin (AAT) in the lung among all the tested serotypes and mutants. A dose of 1 x 10(10) vg of rAAV8-CB-AAT transduced a high percentage of cells in the lung when delivered intratrachealy. The serum and the broncho-alveolar lavage fluid (BALF) levels of human AAT (hAAT) were about 6- and 2.5-fold higher, respectively, than those of rAAV5 group. Among the rAAV2 capsid mutants, the rAAV2 capsid mutants that display a peptide sequence from hAAT (""long serpin"") indicated a twofold increase in transgene expression. For most vectors, the serum hAAT levels achieved after intranasal delivery were 1/2 to 1/3 of those with the intratracheal method. Overall, rAAV8 was the most promising vector for the future application in gene therapy of pulmonary diseases such as AAT deficiency-related emphysema.","['Liqun Wang', 'McLaughlin', 'Cossette']",2,8,"transduction, gene expression, transgene expression","liver, lung",36
32576975,Optimization of adeno-associated viral vector-mediated transduction of the corticospinal tract: comparison of four promoters.,Gene therapy,2021,"Adeno-associated viral vectors are widely used as vehicles for gene transfer to the nervous system. The promoter and viral vector serotype are two key factors that determine the expression dynamics of the transgene. A previous comparative study has demonstrated that AAV1 displays efficient transduction of layer V corticospinal neurons, but the optimal promoter for transgene expression in corticospinal neurons has not been determined yet. In this paper, we report a side-by-side comparison between four commonly used promoters: the short CMV early enhancer/chicken β actin (sCAG), human cytomegalovirus (hCMV), mouse phosphoglycerate kinase (mPGK) and human synapsin (hSYN) promoter. Reporter constructs with each of these promoters were packaged in AAV1, and were injected in the sensorimotor cortex of rats and mice in order to transduce the corticospinal tract. Transgene expression levels and the cellular transduction profile were examined after 6 weeks. The AAV1 vectors harbouring the hCMV and sCAG promoters resulted in transgene expression in neurons, astrocytes and oligodendrocytes. The mPGK and hSYN promoters directed the strongest transgene expression. The mPGK promoter did drive expression in cortical neurons and oligodendrocytes, while transduction with AAV harbouring the hSYN promoter resulted in neuron-specific expression, including perineuronal net expressing interneurons and layer V corticospinal neurons. This promoter comparison study contributes to improve transgene delivery into the brain and spinal cord. The optimized transduction of the corticospinal tract will be beneficial for spinal cord injury research.","['Nieuwenhuis', 'Haenzi', 'Hilton']",2,9,"transduction, gene expression, transgene expression","liver, brain, cortex, spinal cord",34
36635457,Improving adeno-associated viral (AAV) vector-mediated transgene expression in retinal ganglion cells: comparison of five promoters.,Gene therapy,2023,"Recombinant adeno-associated viral vectors (AAVs) are an effective system for gene transfer. AAV serotype 2 (AAV2) is commonly used to deliver transgenes to retinal ganglion cells (RGCs) via intravitreal injection. The AAV serotype however is not the only factor contributing to the effectiveness of gene therapies. Promoters influence the strength and cell-selectivity of transgene expression. This study compares five promoters designed to maximise AAV2 cargo space for gene delivery: chicken β-actin (CBA), cytomegalovirus (CMV), short CMV early enhancer/chicken β-actin/short β-globulin intron (sCAG), mouse phosphoglycerate kinase (PGK), and human synapsin (SYN). The promoters driving enhanced green fluorescent protein (eGFP) were examined in adult C57BL/6J mice eyes and tissues of the visual system. eGFP expression was strongest in the retina, optic nerves and brain when driven by the sCAG and SYN promoters. CBA, CMV, and PGK had moderate expression by comparison. The SYN promoter had almost exclusive transgene expression in RGCs. The PGK promoter had predominant expression in both RGCs and AII amacrine cells. The ubiquitous CBA, CMV, and sCAG promoters expressed eGFP in a variety of cell types across multiple retinal layers including Müller glia and astrocytes. We also found that these promoters could transduce human retina ex vivo, although expression was predominantly in glial cells due to low RGC viability. Taken together, this promoter comparison study contributes to optimising AAV-mediated transduction in the retina, and could be valuable for research in ocular disorders, particularly those with large or complex genetic cargos.","['Nieuwenhuis', 'Laperrousaz', 'Tribble']",2,8,"transduction, gene expression, transgene expression","liver, brain",33
19916803,"Comparison of adeno-associated virus pseudotype 1, 2, and 8 vectors administered by intramuscular injection in the treatment of murine phenylketonuria.",Human gene therapy,2010,"Phenylketonuria (PKU) is caused by hepatic phenylalanine hydroxylase (PAH) deficiency and is associated with systemic accumulation of phenylalanine (Phe). Previously we demonstrated correction of murine PKU after intravenous injection of a recombinant type 2 adeno-associated viral vector pseudotyped with type 8 capsid (rAAV2/8), which successfully directed hepatic transduction and Pah gene expression. Here, we report that liver PAH activity and phenylalanine clearance were also restored in PAH-deficient mice after simple intramuscular injection of either AAV2 pseudotype 1 (rAAV2/1) or rAAV2/8 vectors. Serotype 2 AAV vector (rAAV2/2) was also investigated, but long-term phenylalanine clearance has been observed only for pseudotypes 1 and 8. Therapeutic correction was shown in both male and female mice, albeit more effectively in males, in which correction lasted for the entire period of the experiment (>1 year). Although phenylalanine levels began to rise in female mice at about 8-10 months after rAAV2/8 injection they remained only mildly hyperphenylalaninemic thereafter and subsequent supplementation with synthetic tetrahydrobiopterin resulted in a transient decrease in blood phenylalanine. Alternatively, subsequent administration of a second vector with a different AAV pseudotype to avoid immunity against the previously administrated vector was also successful for long-term treatment of female PKU mice. Overall, this relatively less invasive gene transfer approach completes our previous studies and allows comparison of complementary strategies in the development of efficient PKU gene therapy protocols.","['Rebuffat', 'Harding', 'Ding']",2,6,"transduction, gene expression","liver, hepatic",26
29523880,Widespread transduction of astrocytes and neurons in the mouse central nervous system after systemic delivery of a self-complementary AAV-PHP.B vector.,Gene therapy,2018,"Until recently, adeno-associated virus 9 (AAV9) was considered the AAV serotype most effective in crossing the blood-brain barrier (BBB) and transducing cells of the central nervous system (CNS), following systemic injection. However, a newly engineered capsid, AAV-PHP.B, is reported to cross the BBB at even higher efficiency. We investigated how much we could boost CNS transgene expression by using AAV-PHP.B carrying a self-complementary (sc) genome. To allow comparison, 6 weeks old C57BL/6 mice received intravenous injections of scAAV2/9-GFP or scAAV2/PHP.B-GFP at equivalent doses. Three weeks postinjection, transgene expression was assessed in brain and spinal cord. We consistently observed more widespread CNS transduction and higher levels of transgene expression when using the scAAV2/PHP.B-GFP vector. In particular, we observed an unprecedented level of astrocyte transduction in the cortex, when using a ubiquitous CBA promoter. In comparison, neuronal transduction was much lower than previously reported. However, strong neuronal expression (including spinal motor neurons) was observed when the human synapsin promoter was used. These findings constitute the first reported use of an AAV-PHP.B capsid, encapsulating a scAAV genome, for gene transfer in adult mice. Our results underscore the potential of this AAV construct as a platform for safer and more efficacious gene therapy vectors for the CNS.","['Rincon', 'de Vin', 'Duqué']",2,13,"transduction, gene expression, transgene expression, systemic injection, systemic delivery","liver, brain, cortex, spinal cord",26
37746248,Systemic gene therapy using an AAV44.9 vector rescues a neonatal lethal mouse model of propionic acidemia.,Molecular therapy. Methods & clinical development,2023,"Propionic acidemia (PA) is rare autosomal recessive metabolic disorder caused by defects in the mitochondrially localized enzyme propionyl-coenzyme A (CoA) carboxylase. Patients with PA can suffer from lethal metabolic decompensation and cardiomyopathy despite current medical management, which has led to the pursuit of gene therapy as a new treatment option for patients. Here we assess the therapeutic efficacy of a recently described adeno-associated virus (AAV) capsid, AAV44.9, to deliver a therapeutic <i>PCCA</i> transgene in a new mouse model of propionyl-CoA carboxylase α (PCCA) deficiency generated by genome editing. <i>Pcca</i><sup>-/-</sup> mice recapitulate the severe neonatal presentation of PA and manifest uniform neonatal lethality, absent PCCA expression, and increased 2-methylcitrate. A single injection of the AAV44.9 PCCA vector in the immediate newborn period, systemically delivered at a dose of 1e11 vector genome (vg)/pup but not 1e10 vg/pup, increased survival, reduced plasma methylcitrate, and resulted in high levels of transgene expression in the liver and heart in treated <i>Pcca</i><sup>-/-</sup> mice. Our studies not only establish a versatile and accurate new mouse model of PA but further demonstrate that the AAV44.9 vectors may be suitable for treatment of many metabolic disorders where hepato-cardiac transduction following systemic delivery is desired, such as PA, and, by extension, fatty acid oxidation defects and glycogen storage disorders.","['Chandler', 'Di Pasquale', 'Choi']",2,11,"transduction, gene expression, transgene expression, systemic delivery","liver, heart, cardiac",26
14502216,Adeno-associated virus vector-mediated transduction in the cat brain.,Gene therapy,2003,"Adeno-associated virus (AAV) vectors are capable of delivering a therapeutic gene to the mouse brain that can result in long-term and widespread protein production. However, the human infant brain is more than 1000 times larger than the mouse brain, which will make the treatment of global neurometabolic disorders in children more difficult. In this study, we evaluated the ability of three AAV serotypes (1,2, and 5) to transduce cells in the cat brain as a model of a large mammalian brain. The human lysosomal enzyme beta-glucuronidase (GUSB) was used as a reporter gene, because it can be distinguished from feline GUSB by heat stability. The vectors were injected into the cerebral cortex, caudate nucleus, thalamus, corona radiata, internal capsule, and centrum semiovale of 8-week-old cats. The brains were evaluated for gene expression using in situ hybridization and enzyme histochemistry 10 weeks after surgery. The AAV2 vector was capable of transducing cells in the gray matter, while the AAV1 vector resulted in greater transduction of the gray matter than AAV2 as well as transduction of the white matter. AAV5 did not result in detectable transduction in the cat brain.","['Vite', 'Passini', 'Haskins']",2,7,"transduction, gene expression","liver, brain, cerebral, cortex",25
35990749,Targeting the lung epithelium after intravenous delivery by directed evolution of underexplored sites on the AAV capsid.,Molecular therapy. Methods & clinical development,2022,"Advances in adeno-associated virus (AAV) engineering have provided exciting new tools for research and potential solutions for gene therapy. However, the lung has not received the same tailored engineering as other major targets of debilitating genetic disorders. To address this, here we engineered the surface-exposed residues AA452-458 of AAV9 capsid proteins at the three-fold axis of symmetry and employed a Cre-transgenic-based screening platform to identify AAV capsids targeted to the lung after intravenous delivery in mice. Using a custom image processing pipeline to quantify transgene expression across whole tissue images, we found that one engineered variant, AAV9.452sub.LUNG1, displays dramatically improved transgene expression in lung tissue after systemic delivery in mice. This improved transduction extends to alveolar epithelial type II cells, expanding the toolbox for gene therapy research for diseases specific to the lung.","['Goertsen', 'Goeden', 'Flytzanis']",2,10,"transduction, gene expression, transgene expression, systemic delivery","liver, lung",25
39237829,"Construction and utilization of a new generation of bacteriophage-based particles, or TPA, for guided systemic delivery of nucleic acids to tumors.",Nature protocols,2026,"Successful delivery of nucleic acid therapeutics to diseased sites would present a pivotal advancement in cancer treatment. However, progress has been hindered by the lack of efficient tumor-selective vectors via clinical systemic routes, the blood-brain barrier for brain tumors and problems with repeated administrations. We present a new generation of M13 phage-based vectors termed transmorphic phage/adeno-associated virus (AAV) (TPA), wherein the phage genome has been excised to facilitate exclusive packaging of human AAV DNA by phage coat proteins. Here we provide a detailed protocol for the molecular cloning of DNA into the TPA construct, display of disease-specific ligands on the helper phage capsid for cell targeting and entry, and packaging of TPA DNA by helper phage coat proteins in a bacterial host. Furthermore, we provide methods for mammalian cell transduction and assessment of transgene expression in vitro as well as in vivo application of TPA particles in tumor-bearing mice. Unlike other similar methods, our protocol enables high-yield production and control of helper phage quantity in TPA preparations. Moreover, compared with existing M13 phage vectors, TPA particles can accommodate large size transgene inserts, despite being considerably more compact, providing superior gene delivery through enhanced diffusion across the extracellular matrix, improved cellular binding and entry and increased vector DNA accumulation in the nucleus. The protocol encompasses a timeline of 4-5 months, including construction and production of TPA particles with transgene and targeted ligand and in vitro/in vivo testing. This protocol can be conducted by researchers trained in basic molecular biology/bacteriology research techniques.","['Gay', 'Suwan', 'Hajitou']",2,10,"transduction, gene expression, transgene expression, systemic delivery","liver, brain",25
16688207,"Long-term expression and repeated administration of AAV type 1, 2 and 5 vectors in skeletal muscle of immunocompetent adult mice.",Gene therapy,2006,"Adeno-associated viral (AAV) vectors promote long-term gene transfer into muscle in many animal species. Increased expression levels may be obtained by using alternative serotypes in combination with repeated administrations. Here we compared AAV vectors based on serotypes 1, 2 and 5 in immunocompetent mice and assessed the feasibility of multiple administrations of either identical (readministration) or different (cross-administration) serotype-based vectors. A 1-year-long dose-response study confirmed the superiority of recombinant (r)AAV1, achieving transduction levels 5 to 10-fold higher than rAAV2 and rAAV5 in mouse skeletal muscle, respectively. Repeated administration demonstrated that increased gene transfer level was achieved with a second injection of rAAV1 following the first administration of rAAV2 or rAAV5. A readministration study with a vector encoding a different gene allowed the evaluation of gene expression from the second vector only. All three rAAVs were inhibited when the animals were previously exposed to the same serotype. In contrast, no significant change in gene expression from the second vector was observed in cross-administration. A humoral immune response was elicited against the viral capsid for all three serotypes following the initial exposure. Neutralizing antibody (NAB) levels correlated with the vector dose injected. No significant cross-reactivity of NAB from a given serotype toward another was observed in vitro. These data provide the first direct comparative evaluation of re- and cross-administration of rAAV1, rAAV2 and rAAV5 in muscle, and further indicate that rAAV1 is capable of transducing muscle tissue when cross-administered.","['Rivière', 'Danos', 'Douar']",2,6,"transduction, gene expression","muscle, skeletal muscle",24
