Tissue,Serotype,Route,qPCR_Score,Luciferase_Score,Expression_Efficiency
Heart,AAV1,Systemic,3.170542635658915,-0.7605633802816906,-0.2398842935362789
Heart,AAV1,Local,5.164383561643835,2.377689858149184,0.46040148446920537
Heart,AAV2,Systemic,3.596899224806201,-1.71830985915493,-0.47771976687712503
Heart,AAV2,Local,5.739726027397261,2.698951150171839,0.47022299275070223
Heart,AAV3,Systemic,2.976744186046512,-1.098591549295774,-0.36905809859154903
Heart,AAV3,Local,3.575342465753424,1.344235037374089,0.3759737843996495
Heart,AAV4,Systemic,4.7984496124031,0.3849765258215962,0.08022935675441989
Heart,AAV4,Local,4.691780821917807,2.106792657308917,0.44903901893007586
Heart,AAV5,Local,3.315068493150684,1.1653664293826402,0.35153615431790397
Heart,AAV6,Systemic,4.992248062015504,0.8356807511737089,0.1673956784183361
Heart,AAV6,Local,6.486301369863012,3.9198479798692083,0.6043271436757176
Heart,AAV7,Systemic,3.635658914728682,0.291079812206573,0.08006246433826848
Heart,AAV7,Local,4.897260273972602,2.2586494852247996,0.4612067480319172
Heart,AAV8,Systemic,3.829457364341085,0.6291079812206578,0.16428123396247948
Heart,AAV8,Local,4.95890410958904,2.4683006851297886,0.4977512431339078
Heart,AAV9,Systemic,5.4378503414036485,1.5954826328487586,0.293403189253076
Heart,AAV9,Local,4.962874998051401,2.7950233263082462,0.5631863239363616
Heart,AAVMYO,Systemic,4.574807486847495,2.920818753952375,0.6384571946141311
Heart,AAVMYO,Local,4.236304666027326,2.744328876711845,0.6478119712965287
Heart,MYOAAV2A,Systemic,5.921170267109487,3.657577319177794,0.6177118971725328
Heart,MYOAAV2A,Local,5.539269161468507,4.026328938722349,0.7268700655909155
Heart,MYOAAV4A,Systemic,5.542622803476093,3.055857817464999,0.5513378640069999
Heart,MYOAAV4A,Local,5.5070845374878,3.273001272063738,0.5943255909336018
Liver,AAV1,Systemic,3.153846153846155,-0.5915492957746473,-0.1875644108553759
Liver,AAV1,Local,3.730627306273062,0.6892049376851055,0.18474237202043878
Liver,AAV2,Systemic,3.76923076923077,-0.2347417840375581,-0.0622784324997603
Liver,AAV2,Local,4.542435424354243,1.5893081154105952,0.3498801781285714
Liver,AAV3,Local,3.38929889298893,0.27454182409311145,0.08100254145806554
Liver,AAV4,Systemic,3.115384615384614,-1.136150234741784,-0.3646901988060049
Liver,AAV4,Local,2.780442804428044,0.44767256289016255,0.16100765035598416
Liver,AAV5,Systemic,3.615384615384615,-0.3661971830985918,-0.10128858255918498
Liver,AAV5,Local,3.094095940959408,0.16278327481646948,0.05261093318457156
Liver,AAV6,Systemic,4.76923076923077,0.1596244131455388,0.03346963501438716
Liver,AAV6,Local,3.776752767527675,1.1473956902886746,0.303804818825824
Liver,AAV7,Systemic,6.423076923076923,1.28638497652582,0.20027550532737315
Liver,AAV7,Local,4.82841328413284,2.3373837394873767,0.4840894103179818
Liver,AAV8,Systemic,5.153846153846154,-0.1220657276995306,-0.023684394926774592
Liver,AAV8,Local,4.53321033210332,1.8956643086721248,0.41817259067980944
