serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
MYOAAV2A,5.921170267109487,3.657577319177794,4.563014498350471,4.653723033439955,1.0,1.0,1.0,Systemic
MYOAAV4A,5.542622803476093,3.055857817464999,4.050563811869437,4.115515426196601,2.0,2.0,2.0,Systemic
AAVMYO,4.574807486847495,2.920818753952375,3.582414247110423,3.6554320542592356,3.0,3.0,3.0,Systemic
AAV9,5.4378503414036485,1.5954826328487586,3.1324297162707144,2.945504333682131,4.0,4.0,4.0,Systemic
AAV6,4.992248062015504,0.8356807511737089,2.4983076755104268,2.042529219010247,5.0,5.0,5.0,Systemic
AAV4,4.7984496124031,0.3849765258215962,2.150365760454198,1.359150639595527,6.0,7.0,6.5,Systemic
AAV8,3.829457364341085,0.6291079812206578,1.9092477344688288,1.5521411635708915,7.0,6.0,6.5,Systemic
AAV7,3.635658914728682,0.291079812206573,1.6289114532154167,1.0287210088971537,8.0,8.0,8.0,Systemic
AAV1,3.170542635658915,-0.7605633802816906,0.8118790260945516,,9.0,,9.0,Systemic
AAV3,2.976744186046512,-1.098591549295774,0.5315427448411404,,10.0,,10.0,Systemic
AAV2,3.596899224806201,-1.71830985915493,0.40777377442952245,,11.0,,11.0,Systemic
AAV5,3.674418604651163,,,,,,,Systemic
