serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
AAV9,6.282214281028782,1.6140061182331955,3.4812893833514305,3.1842632249285563,1.0,2.0,1.5,Systemic
MYOAAV4A,5.714513016388201,1.776817011294578,3.3518954133320276,3.186478297240207,2.0,1.0,1.5,Systemic
AAV7,6.423076923076923,1.28638497652582,3.3410617551462614,2.874465107966323,3.0,3.0,3.0,Systemic
MYOAAV2A,4.651973441659794,1.543687251268533,2.7870017274250376,2.679774635138191,4.0,4.0,4.0,Systemic
AAVMYO,3.953003437323776,1.28612294938564,2.352875144560895,2.2547834573950616,5.0,5.0,5.0,Systemic
AAV6,4.76923076923077,0.1596244131455388,2.0034669555796314,0.8725168552492887,6.0,6.0,6.0,Systemic
AAV8,5.153846153846154,-0.1220657276995306,1.9882990249187433,,7.0,,7.0,Systemic
AAV2,3.76923076923077,-0.2347417840375581,1.3668472372697733,,8.0,,8.0,Systemic
AAV5,3.615384615384615,-0.3661971830985918,1.226435536294691,,9.0,,9.0,Systemic
AAV1,3.153846153846155,-0.5915492957746473,0.9066088840736738,,10.0,,10.0,Systemic
AAV4,3.115384615384614,-1.136150234741784,0.5644637053087753,,11.0,,11.0,Systemic
AAV3,3.76923076923077,,,,,,,Systemic
