serotype,qPCR (Delivery),Luciferase (Function),Weighted_Score,Overall_Tropism,Weighted_Rank,Overall_Rank,Consensus_Rank,Route_Type
MYOAAV4A,4.917719655948501,5.091080469347331,5.021736143987798,5.00364931766055,1.0,1.0,1.0,Systemic
MYOAAV2A,5.156862660751271,4.753327666658612,4.914741664295676,4.950985554261672,2.0,2.0,2.0,Systemic
AAVMYO,4.366812187067918,3.871681522740319,4.069733788471359,4.111800829070895,3.0,3.0,3.0,Systemic
AAV9,4.349162238827314,1.6553003282129586,2.732845092458701,2.6831268477994583,4.0,4.0,4.0,Systemic
AAV7,4.276116648209671,0.26604068857589996,1.8700710724294085,1.0665931827649051,5.0,5.0,5.0,Systemic
AAV8,4.2142857142857135,0.19718309859154923,1.804024144869215,0.911584288748417,6.0,6.0,6.0,Systemic
AAV1,3.3361941675895146,-0.7699530516431939,0.8725058360498895,,7.0,,7.0,Systemic
AAV6,2.9315245478036163,-0.5164319248826293,0.8627506641918689,,8.0,,8.0,Systemic
AAV4,4.13861203396087,-1.962441314553993,0.47798002485195235,,9.0,,9.0,Systemic
AAV2,3.497692875599851,-1.643192488262911,0.4131616572821941,,10.0,,10.0,Systemic
AAV5,3.4298634182355103,-1.661971830985915,0.37476226870265517,,11.0,,11.0,Systemic
AAV3,3.314968623108157,-2.043818466353678,0.0996963694310562,,12.0,,12.0,Systemic
