serotype,mean,std,count
MYOAAV2A,4.094562736330922,1.4844221798615225,16
MYOAAV4A,4.089442104624625,1.6366442757049064,16
AAV9,2.6879000776679005,2.3435340770729565,46
AAV6,2.0006635436774314,2.565965038694798,29
AAV2,1.9978665233068151,2.626959063546827,25
AAV8,1.9510854270254112,2.686987422840005,29
AAV1,1.9049191786402802,2.231274892304461,25
AAV7,1.885227354952577,2.5319267852204606,30
AAV4,1.8833232346132354,2.6847904010827737,27
AAV5,1.5616207082285414,2.4970282909035597,25
AAV3,1.2020625482531697,2.3864565264186806,26
AAVMYO,-inf,,16
